URLID,length,word_present,edited_2023
URLID_GNPF,19961.0,1,1
URLID_IIAA,33490.0,1,0
URLID_OOXK,32132.0,1,1
URLID_HCWK,43180.0,0,0
URLID_RXZL,35918.0,0,1
URLID_ZKXK,46756.0,1,1
URLID_PNXA,45000.0,0,0
URLID_PPID,22938.272727272728,0,0
URLID_PKTF,24582.0,0,0
URLID_SGPA,19131.0,0,0
URLID_IEIF,17969.075675675675,0,0
URLID_TUPA,17291.166666666668,0,0
URLID_PXQB,25655.0,0,0
URLID_XRBN,22678.0,0,0
URLID_IPJD,45389.0,1,1
URLID_MKCM,22498.0,0,0
URLID_WVAA,57573.0,0,1
URLID_WXEA,20430.652173913044,0,0
URLID_RFCM,37542.0,1,1
URLID_XXAF,18093.0,0,0
URLID_EELN,17838.666666666668,0,0
URLID_GPRJ,32032.0,0,1
URLID_UFCA,34846.0,1,0
URLID_URTH,16154.75,0,0
URLID_EXAH,33952.0,1,0
URLID_NSPJ,28685.0,1,0
URLID_ARZM,17343.4,0,0
URLID_RRYD,29431.0,0,0
URLID_YJXK,22819.0,0,0
URLID_IEKI,23642.666666666668,0,1
URLID_XNQC,107522.0,1,1
URLID_EMAA,60320.0,0,0
URLID_ARSG,16799.0,0,0
URLID_TXIL,70264.0,1,1
URLID_NMPD,15401.0,0,0
URLID_NBJL,17992.777777777777,0,0
URLID_DOJE,23660.0,0,0
URLID_ZZED,22485.8,0,0
URLID_HVJH,23837.0,0,0
URLID_IXVI,24839.0,0,0
URLID_HQMI,28474.0,0,0
URLID_XCIA,43227.0,0,1
URLID_PYXL,33542.0,0,1
URLID_WYRI,135842.0,1,1
URLID_SMVI,53694.0,1,1
URLID_EGXC,19397.0,0,0
URLID_PSIE,20147.4,0,0
URLID_VGJJ,8983.0,0,0
URLID_ASFL,17651.75,0,0
URLID_OVTA,24920.0,0,1
URLID_OHHF,19420.14285714286,0,0
URLID_MWQH,24572.0,0,0
URLID_IQKL,37739.0,0,0
URLID_VPXN,81748.0,1,0
URLID_NKSI,21813.0,1,0
URLID_XRUM,19502.0,0,0
URLID_MATG,68459.5,0,1
URLID_GXMG,22958.0,0,0
URLID_FRIK,17689.0,0,0
URLID_JJYK,21671.0,0,0
URLID_PXIH,39745.0,1,0
URLID_UNXK,17529.74683544304,0,0
URLID_KYKF,39959.0,1,1
URLID_CLSL,77983.0,1,1
URLID_COQB,17478.29683698297,0,0
URLID_CMIG,45734.0,1,1
URLID_TAZF,21593.75,0,0
URLID_GPAM,20650.833333333332,0,0
URLID_SUME,30263.0,1,1
URLID_WFTG,23577.666666666668,0,0
URLID_BVPC,23028.0,0,0
URLID_FVHI,30084.0,0,0
URLID_CVFN,25040.0,0,0
URLID_QCTA,22392.0,0,0
URLID_MAHN,32361.0,1,1
URLID_KSMJ,54559.0,1,1
URLID_UASF,25686.0,0,0
URLID_SSFG,18899.0,0,0
URLID_BNOC,30979.0,0,0
URLID_GAJD,10900.0,0,0
URLID_SYEC,22465.0,0,0
URLID_ZIXB,40270.0,1,1
URLID_RGXE,28844.0,0,0
URLID_YKNM,20124.0,0,0
URLID_YFAL,172325.0,1,1
URLID_JLMB,21589.0,0,1
URLID_VNEK,15358.0,0,0
URLID_MOCC,36936.0,0,1
URLID_PHUC,16965.0,0,0
URLID_OFEO,22307.0,0,0
URLID_UBRH,62725.5,1,1
URLID_HVAF,22453.0,0,0
URLID_ZNJJ,24834.0,0,0
URLID_UIIG,33080.0,1,1
URLID_GKOL,63881.0,1,1
URLID_MVRE,44144.0,1,1
URLID_HWLG,21394.0,0,0
URLID_DMGM,23225.0,1,0
URLID_DYGK,23874.0,1,1
URLID_ARRI,18220.583333333332,0,0
URLID_BNPH,17367.4,0,0
URLID_VADC,65528.0,0,1
URLID_DNOF,45258.0,1,1
URLID_GOXN,34650.0,0,0
URLID_QJHF,38436.0,1,1
URLID_WTVF,17375.598619896493,0,0
URLID_PGWC,31236.0,0,0
URLID_BCNK,10664.0,0,0
URLID_ANRF,27894.0,0,0
URLID_GTJE,16370.0,0,0
URLID_OPDG,31809.0,1,1
URLID_FEIA,74845.0,1,1
URLID_PVFL,31878.0,0,1
URLID_HRDK,33239.0,0,0
URLID_OMSE,24105.0,0,0
URLID_JJPF,39071.0,1,1
URLID_RLTD,18750.6,1,0
URLID_UPKK,13374.0,0,0
URLID_DPUN,19575.0,0,0
URLID_WKUF,22713.0,1,0
URLID_OHYB,50386.5,1,1
URLID_ZQWF,18830.0,0,0
URLID_IMMF,21618.333333333332,0,0
URLID_BJFN,8531.0,0,0
URLID_NXDD,19813.0,0,0
URLID_GWXF,43168.0,0,1
URLID_QYPL,24012.0,0,0
URLID_ABNK,25213.0,0,0
URLID_FPDE,16628.107228915662,0,0
URLID_MQEB,15040.0,0,0
URLID_YZZB,57921.5,1,1
URLID_ZMGA,144081.0,1,1
URLID_FHQI,30547.0,1,0
URLID_KZBE,21466.5,1,1
URLID_DKBA,37586.0,1,0
URLID_OLXH,24588.0,1,1
URLID_BCDO,17375.598619896493,0,0
URLID_FJVL,23205.0,1,0
URLID_SYGF,23699.0,0,0
URLID_CTQE,109922.0,1,0
URLID_QEUH,22062.0,1,0
URLID_SDID,61858.0,0,1
URLID_EVRI,18946.0,0,0
URLID_FHSC,19409.456521739132,0,0
URLID_QQGL,22279.0,0,0
URLID_MNRG,72589.0,1,1
URLID_XSAI,32513.0,0,0
URLID_QSYJ,113788.0,1,1
URLID_CRLN,49706.0,1,1
URLID_JLFH,19143.5,0,1
URLID_QYJL,38069.0,0,0
URLID_FGKD,15837.422077922078,0,0
URLID_QQKI,17631.0,0,0
URLID_MUSE,12455.0,0,0
URLID_JCNG,81034.0,1,1
URLID_RADI,109236.0,1,1
URLID_HMKI,22659.0,0,1
URLID_NXKC,35657.0,1,1
URLID_SRLF,18185.0,0,0
URLID_EHXL,35807.0,0,1
URLID_QSGG,21401.31818181818,0,0
URLID_YHLH,83974.0,1,1
URLID_ABLG,56359.0,0,1
URLID_CBJM,49003.0,0,1
URLID_QBGM,23162.0,0,0
URLID_QOCD,52601.0,0,0
URLID_AFNG,28843.0,0,0
URLID_LVLG,9994.0,0,0
URLID_JUEK,8343.0,0,0
URLID_HTNG,29487.0,0,0
URLID_RZME,23314.0,0,0
URLID_JMDE,25273.0,0,0
URLID_CCGF,33136.0,0,0
URLID_FUZG,31990.666666666668,1,0
URLID_PPTF,30504.0,0,0
URLID_IDKE,34846.0,0,0
URLID_YWKL,23788.0,0,1
URLID_SDMF,45183.0,0,0
URLID_BGFM,27274.0,0,1
URLID_NOBJ,73143.0,1,1
URLID_LNME,44456.0,1,1
URLID_RGPL,60222.0,1,1
URLID_SSSB,15706.0,1,0
URLID_TUYM,17614.122159090908,0,0
URLID_GZDH,31672.333333333332,1,1
URLID_OCPD,137312.0,1,1
URLID_EXNE,39516.0,1,1
URLID_WOJM,74903.0,0,0
URLID_NUBL,29660.0,1,0
URLID_RXZK,44452.0,1,1
URLID_FNPB,19653.0,0,0
URLID_FAZK,44980.0,0,0
URLID_TJQH,36911.0,0,0
URLID_EBAB,104337.0,1,0
URLID_TRKN,23452.0,1,1
URLID_IRCA,51428.5,1,1
URLID_AFMG,33410.0,1,0
URLID_QAIC,18069.4,0,0
URLID_SJRN,8205.0,0,0
URLID_BPRL,73763.0,0,0
URLID_FDVA,17027.0,1,0
URLID_SCDG,39202.0,1,0
URLID_KXZM,36967.0,1,1
URLID_WKZK,33728.0,0,1
URLID_YSTM,46976.0,1,1
URLID_VYOL,86041.0,1,1
URLID_ACSG,19292.0,1,0
URLID_WFME,15919.0,0,0
URLID_MOYF,23989.0,1,0
URLID_CRCE,194885.0,1,1
URLID_HGKL,26515.0,0,0
URLID_SGJH,21518.0,0,0
URLID_IYNI,22041.0,0,0
URLID_MYZL,30457.0,0,0
URLID_IHPL,23926.0,0,0
URLID_KGOF,24444.5,0,1
URLID_EOIH,41335.0,1,0
URLID_CSDA,29062.0,0,0
URLID_WHAM,15463.0,0,0
URLID_VDBE,17375.598619896493,0,0
URLID_SBXA,23515.0,0,0
URLID_RODC,19384.5,0,0
URLID_QHUE,19670.0,0,0
URLID_RZYL,28744.0,0,0
URLID_JTYF,45946.0,1,1
URLID_EQOI,18695.0,0,0
URLID_EMBB,17375.598619896493,0,0
URLID_FUNF,42543.0,0,0
URLID_XREO,17375.598619896493,0,0
URLID_MOTE,60777.0,1,1
URLID_WVHN,102730.0,1,1
URLID_OLSG,20145.833333333332,0,0
URLID_RQVN,49743.0,1,1
URLID_GVLA,21670.0,0,1
URLID_HRZL,29369.0,1,0
URLID_XAXC,73928.0,0,0
URLID_DEHL,33136.0,1,0
URLID_ZCTL,37637.0,1,0
URLID_IPQK,16708.0,1,0
URLID_HZCI,16593.0,0,0
URLID_AEXN,44396.0,0,0
URLID_KQEM,54374.0,0,1
URLID_KJTK,22125.5,0,0
URLID_HBRE,32272.0,0,0
URLID_PKRK,91710.0,1,1
URLID_IYTA,19228.0,0,1
URLID_SXZM,21505.0,0,0
URLID_FWAN,20775.0,0,0
URLID_HRAE,37561.0,1,1
URLID_NFPM,28342.0,0,0
URLID_JQRN,16271.5,0,0
URLID_AKIH,24212.0,0,0
URLID_NYSH,19365.0,0,0
URLID_NNJL,110902.0,1,1
URLID_PNEB,20442.6,1,0
URLID_RKGK,44762.0,1,1
URLID_DNPN,23529.0,0,0
URLID_GRCC,59318.0,0,1
URLID_JWYE,74178.0,1,1
URLID_RWUF,50846.0,0,0
URLID_JOON,24682.0,0,0
URLID_RLEE,28196.0,0,0
URLID_IATI,28295.0,0,0
URLID_PDYG,18860.0,0,0
URLID_MLLJ,16180.0,0,0
URLID_EIHA,35230.0,0,0
URLID_MSKN,51220.0,0,0
URLID_JTRM,35718.0,1,0
URLID_GEZK,28423.0,0,1
URLID_VJZI,19323.0,0,0
URLID_XMVD,28607.0,0,0
URLID_HHQN,53108.0,0,0
URLID_IHXM,23006.0,0,1
URLID_AJDE,22745.0,1,0
URLID_SKQE,24636.0,0,0
URLID_QNZH,62426.0,0,1
URLID_NJRN,22566.375,0,0
URLID_WXBD,27635.0,0,0
URLID_SGFN,27953.0,0,1
URLID_QXNB,54007.0,0,1
URLID_LCDF,103161.0,1,1
URLID_STQG,101070.0,1,1
URLID_OPAH,42638.0,0,0
URLID_XLTJ,29211.0,1,0
URLID_JATI,15776.5,1,1
URLID_LFQJ,18795.0,0,0
URLID_RTEB,17851.5,0,0
URLID_WHLA,23434.0,0,0
URLID_SFSN,20445.0,0,0
URLID_YSDF,27213.0,0,0
URLID_TIUI,30977.0,0,0
URLID_KRNK,48431.0,1,0
URLID_MDYA,34974.0,0,0
URLID_YVKF,16735.0,1,0
URLID_PDPL,14913.0,0,0
URLID_RHNH,12629.5,0,0
URLID_DRCL,15406.0,0,0
URLID_SDDD,14784.0,1,0
URLID_VWZA,64752.0,1,0
URLID_ILGB,35613.0,0,0
URLID_OMJK,30280.0,0,1
URLID_HRNM,26703.0,1,0
URLID_KHBL,27680.0,1,0
URLID_BKZB,23859.0,0,0
URLID_IJZF,156627.0,0,0
URLID_CDWI,47492.0,0,0
URLID_LPYD,33789.0,0,1
URLID_PGMD,21909.0,0,0
URLID_YSVD,17381.0,0,0
URLID_KPJH,55004.0,1,1
URLID_AJJA,16501.0,0,0
URLID_RWXA,17478.29683698297,0,0
URLID_EFPE,47452.0,1,1
URLID_QKAJ,36013.0,1,0
URLID_MFXC,25809.0,1,0
URLID_RDTB,32031.0,0,0
URLID_YQRH,17774.0,0,0
URLID_JTMC,25477.0,0,1
URLID_NVRE,13131.0,0,1
URLID_XYKA,28057.0,0,0
URLID_FLCO,124184.0,1,1
URLID_EKAA,29078.0,0,0
URLID_DYFA,24200.0,1,0
URLID_FFDJ,21890.0,1,1
URLID_CNGC,26330.0,0,0
URLID_OHPI,22173.0,0,0
URLID_YOYA,27567.0,0,0
URLID_NDOK,26379.0,1,0
URLID_CZMC,19110.0,0,1
URLID_AZEC,54745.0,0,0
URLID_CUZI,46954.0,1,1
URLID_HIAA,96677.0,1,1
URLID_QCIG,38188.0,1,0
URLID_OCGG,37873.0,1,1
URLID_YZMD,29564.0,1,0
URLID_JLYG,23810.0,0,1
URLID_CTUE,13659.0,0,0
URLID_NCBA,31583.0,1,0
URLID_YYHG,48345.0,1,0
URLID_FNVE,52669.5,1,1
URLID_ZXSJ,18995.55072463768,0,0
URLID_HRNJ,38031.0,0,1
URLID_GWZN,31323.0,0,0
URLID_VUKF,17183.0,0,0
URLID_RYYF,48883.0,0,0
URLID_WJGK,13176.0,1,0
URLID_ZQCC,18803.0,0,0
URLID_RRYL,48029.0,1,1
URLID_QWNC,35166.0,0,1
URLID_TVPI,17580.0,0,0
URLID_HUQG,10336.942857142858,0,0
URLID_QQCI,33350.0,0,0
URLID_SYIA,94193.0,0,0
URLID_YSAJ,27102.0,0,0
URLID_IQZF,41781.0,1,1
URLID_HVCF,44765.5,0,0
URLID_IFVG,29435.0,1,0
URLID_DNCM,38150.0,1,1
URLID_KCEO,46236.0,0,1
URLID_PVTD,30263.0,0,0
URLID_ROCJ,23766.0,0,0
URLID_YLQL,15533.34,0,0
URLID_YNTJ,36375.0,0,0
URLID_MFOH,26629.0,1,0
URLID_RNOG,33922.0,0,0
URLID_ADWF,26888.0,0,0
URLID_MRBD,20152.5,0,0
URLID_CZOA,104163.0,0,0
URLID_LMMA,56661.0,1,1
URLID_ENAF,65207.0,1,1
